R1,A1,A2,A3,A4,A5,A6,A7,A8,A9,B1,B2,B3,B4,B5,B6,B7,B8,B9,C1,C2,C3,C4,C5,C6,C7,C8,C9,D1,D2,D3,D4,D5,D6,D7,D8,D9
R2,A1,A2,A3,A4,A5,A6,A7,A8,A9,B1,B2,B3,B4,B5,B6,B7,B8,B9,C1,C2,C3,C4,C5,C6,C7,C8,C9,D1,D2,D3,D4,D5,D6,D7,D8,D9
0,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,
15,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,
30,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,
45,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,
60,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,
75,1,1,,1,,,1,,,1,1,,1,,,1,,,1,1,,1,,,1,,,1,1,,1,,,1,,
90,1,1,,1,,,1,,,1,1,,1,,,1,,,1,1,,1,,,1,,,1,1,,1,,,1,,
105,1,1,,1,,,1,,,1,1,,1,,,1,,,1,1,,1,,,1,,,1,1,,1,,,1,,
120,1,1,,1,,,1,,,1,1,,1,,,1,,,1,1,,1,,,1,,,1,1,,1,,,1,,
135,1,1,,1,,,1,,,1,1,,1,,,1,,,1,1,,1,,,1,,,1,1,,1,,,1,,
150,1,1,,1,,,1,,,1,1,,1,,,1,,,1,1,,1,,,1,,,1,1,,1,,,1,,
165,1,1,,1,,,1,,,1,1,,1,,,1,,,1,1,,1,,,1,,,1,1,,1,,,1,,
180,,1,,1,,,1,,,,1,,1,,,1,,,,1,,1,,,1,,,,1,,1,,,1,,
195,,1,,1,,,1,,,,1,,1,,,1,,,,1,,1,,,1,,,,1,,1,,,1,,
210,,1,,1,,,1,,,,1,,1,,,1,,,,1,,1,,,1,,,,1,,1,,,1,,
225,,1,,1,,,1,,,,1,,1,,,1,,,,1,,1,,,1,,,,1,,1,,,1,,
240,,1,,1,,,1,,,,1,,1,,,1,,,,1,,1,,,1,,,,1,,1,,,1,,
255,,1,,1,,,1,,,,1,,1,,,1,,,,1,,1,,,1,,,,1,,1,,,1,,
270,,1,,1,,,1,,,,1,,1,,,1,,,,1,,1,,,1,,,,1,,1,,,1,,
285,,1,,1,,,1,,,,1,,1,,,1,,,,1,,1,,,1,,,,1,,1,,,1,,
300,,1,,1,,,1,,,,1,,1,,,1,,,,1,,1,,,1,,,,1,,1,,,1,,
315,,1,,1,,,1,,,,1,,1,,,1,,,,1,,1,,,1,,,,1,,1,,,1,,
330,,1,,1,,,1,,,,1,,1,,,1,,,,1,,1,,,1,,,,1,,1,,,1,,
R3,A1,A2,A3,A4,A5,A6,A7,A8,A9,B1,B2,B3,B4,B5,B6,B7,B8,B9,C1,C2,C3,C4,C5,C6,C7,C8,C9,D1,D2,D3,D4,D5,D6,D7,D8,D9
0,0.709694,0.737048,0.73692,0.709694,0.737048,0.73692,0.709694,0.737048,0.73692,0.994834,0.994618,0.994255,0.994834,0.994618,0.994255,0.994834,0.994618,0.994255,0.994834,0.994618,0.994255,0.994834,0.994618,0.994255,0.994834,0.994618,0.994255,1,1,1,1,1,1,1,1,1
15,0.7996696,0.823643,0.7690322,0.8007833,0.8198371,0.8016317,0.828504,0.81077,0.837539,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,0.8813688,0.8197033,0.8171592,0.866214,0.843504,0.8353681,0.881896,0.889222,0.859291,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
45,0.8296024,0.829559,0.8049868,0.850203,0.8559704,0.8838816,0.884441,0.912992,0.87805,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
60,0.8550879,0.8727974,0.8540042,0.8639749,0.875477,0.8619104,0.892683,0.89907,0.863803,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
75,0.8403703,0.8338507,0.8437082,0.8569253,0.8898266,0.8604011,0.884731,0.886882,0.897028,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
90,0.9070147,0.8736637,0.8757843,0.8749038,0.8900122,0.8521059,0.859549,0.894992,0.905529,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
105,0.8596418,0.8501373,0.8735087,0.8724847,0.8458629,0.8757965,0.874794,0.898291,0.879149,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
120,0.8611987,0.852762,0.932909,0.8930948,0.8873973,0.8386312,0.927651,0.789678,0.888695,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
135,0.8709709,0.8612031,0.9173614,0.8694071,0.8557956,0.8615805,0.816942,0.88848,0.900772,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
150,0.836961,0.8332575,0.8561818,0.872459,0.8674691,0.8750194,0.890451,0.897361,0.894843,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
165,0.908969,0.8484769,0.8462736,0.8495841,0.8960292,0.8803896,0.912587,0.905274,0.895693,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
180,0.8814086,0.8599466,0.8651397,0.9135537,0.9007545,0.8981853,0.88722,0.94499,0.830663,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
195,0.8864975,0.8702447,0.8720576,0.8969125,0.888837,0.8972507,0.905423,0.933509,0.904959,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
210,0.8686019,0.9220361,0.8674539,0.8952801,0.9110893,0.9186347,0.923487,0.900075,0.880768,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
225,0.8794129,0.896179,0.8792535,0.8724277,0.9137314,0.9087359,0.868709,0.911302,0.909793,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
240,0.885595,0.869225,0.8361421,0.8950126,0.9208565,0.8865651,0.88023,0.922785,0.913801,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
255,0.8419863,0.8722746,0.8529981,0.8923808,0.9142489,0.898665,0.874951,0.940344,0.914553,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
270,0.8647069,0.8810581,0.8462647,0.901064,0.910244,0.9117056,0.888992,0.904688,0.908378,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
285,0.8964573,0.8792378,0.8412912,0.9021162,0.8876589,0.8943633,0.897579,0.916189,0.916871,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
300,0.8524168,0.860147,0.8771,0.9100657,0.9075544,0.9108971,0.917647,0.90671,0.913404,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
315,0.8642166,0.8617249,0.873559,0.8853769,0.909414,0.9066048,0.914105,0.91713,0.900605,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
330,0.896126,0.8831867,0.8716978,0.9153158,0.9088707,0.926602,0.910613,0.917816,0.905039,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
