R1,A1,A2,A3,A4,A5,A6,A7,A8,A9,B1,B2,B3,B4,B5,B6,B7,B8,B9,C1,C2,C3,C4,C5,C6,C7,C8,C9,D1,D2,D3,D4,D5,D6,D7,D8,D9
195,0.1922298,0.2254243,,,,,,,,0.3479958,0.3387359,,,,,,,,0.3479958,0.3387359,,,,,,,,1,1,,,,,,,
210,0.1995289,0.1786289,,,,,,,,0.3508373,0.3084855,,,,,,,,0.3508373,0.3084855,,,,,,,,1,1,,,,,,,
225,0.1652723,0.2002523,,,,,,,,0.3422477,0.3120097,,,,,,,,0.3422477,0.3120097,,,,,,,,1,1,,,,,,,
240,0.1603788,0.1697866,,,,,,,,0.2927784,0.3034152,,,,,,,,0.2927784,0.3034152,,,,,,,,1,1,,,,,,,
255,0.1766963,0.1206041,,,,,,,,0.3195751,0.2326032,,,,,,,,0.3195751,0.2326032,,,,,,,,1,1,,,,,,,
270,0.1630335,0.1271229,,,,,,,,0.3023054,0.2502981,,,,,,,,0.3023054,0.2502981,,,,,,,,1,1,,,,,,,
285,0.1608171,0.141708,,,,,,,,0.3103883,0.267964,,,,,,,,0.3103883,0.267964,,,,,,,,1,1,,,,,,,
300,0.1507446,0.2064632,,,,,,,,0.3007395,0.3366388,,,,,,,,0.3007395,0.3366388,,,,,,,,1,1,,,,,,,
315,0.1582814,0.1965875,,,,,,,,0.3043535,0.2859949,,,,,,,,0.3043535,0.2859949,,,,,,,,1,1,,,,,,,
330,0.1575226,0.09387523,,,,,,,,0.2687239,0.1718259,,,,,,,,0.2687239,0.1718259,,,,,,,,1,1,,,,,,,
R7,A1,A2,A3,A4,A5,A6,A7,A8,A9,B1,B2,B3,B4,B5,B6,B7,B8,B9,C1,C2,C3,C4,C5,C6,C7,C8,C9,D1,D2,D3,D4,D5,D6,D7,D8,D9
0,0.132229,0.127117,0.135906,,,,,,,0.472875,0.439451,0.464412,,,,,,,0.482908,0.451902,0.475154,,,,,,,1,1,1,,,,,,
15,0.233659,0.267649,0.247187,0.28762,0.264643,0.272215,0.284912,0.249194,,0.50131,0.516229,0.540897,0.574999,0.5296,0.546666,0.484613,0.522281,,0.50131,0.516229,0.540897,0.574999,0.5296,0.546666,0.484613,0.522281,,1,1,1,1,1,1,1,1,
30,0.348292,0.354927,0.352688,0.287906,0.274653,0.308209,0.306059,0.295543,,0.574827,0.554501,0.555807,0.527282,0.521134,0.560752,0.459792,0.45644,,0.574827,0.554501,0.555807,0.527282,0.521134,0.560752,0.459792,0.45644,,1,1,1,1,1,1,1,1,
45,0.333863,0.377519,0.346602,0.350307,0.341006,0.328668,0.275849,0.258875,,0.569256,0.594629,0.589452,0.624376,0.63078,0.59479,0.514058,0.448409,,0.569256,0.594629,0.589452,0.624376,0.63078,0.59479,0.514058,0.448409,,1,1,1,1,1,1,1,1,
60,0.334169,0.332027,0.336824,0.347191,0.366997,0.273482,0.245367,0.231874,,0.565626,0.595399,0.621098,0.629722,0.65787,0.581317,0.454103,0.421905,,0.565626,0.595399,0.621098,0.629722,0.65787,0.581317,0.454103,0.421905,,1,1,1,1,1,1,1,1,
75,0.259358,0.292309,0.301108,0.337245,0.497629,0.348775,0.265675,0.254535,,0.554321,0.5488,0.546148,0.603515,0.712472,0.673877,0.470424,0.475561,,0.554321,0.5488,0.546148,0.603515,0.712472,0.673877,0.470424,0.475561,,1,1,1,1,1,1,1,1,
90,0.317212,0.29003,0.26988,0.300706,0.26552,0.303561,0.231099,0.219127,,0.57095,0.588859,0.519573,0.56742,0.543072,0.565811,0.469316,0.426594,,0.57095,0.588859,0.519573,0.56742,0.543072,0.565811,0.469316,0.426594,,1,1,1,1,1,1,1,1,
105,0.245912,0.254435,0.24072,0.26939,0.306774,0.264668,0.243962,0.273089,,0.544352,0.558312,0.553018,0.547055,0.554767,0.549368,0.502862,0.49484,,0.544352,0.558312,0.553018,0.547055,0.554767,0.549368,0.502862,0.49484,,1,1,1,1,1,1,1,1,
120,0.245619,0.211853,0.252396,0.218502,0.237882,0.221484,0.310854,0.271735,,0.569539,0.525033,0.60298,0.494656,0.534545,0.503444,0.57237,0.489367,,0.569539,0.525033,0.60298,0.494656,0.534545,0.503444,0.57237,0.489367,,1,1,1,1,1,1,1,1,
135,0.194975,0.20904,0.191238,0.254827,0.273465,0.28071,0.25148,,,0.426645,0.438409,0.492757,0.549608,0.566342,0.562019,0.491439,,,0.426645,0.438409,0.492757,0.549608,0.566342,0.562019,0.491439,,,1,1,1,1,1,1,1,,
150,0.160131,0.178635,0.20106,0.239024,0.235029,0.262545,0.226152,,,0.422961,0.459189,0.442166,0.47563,0.486535,0.509509,0.461634,,,0.422961,0.459189,0.442166,0.47563,0.486535,0.509509,0.461634,,,1,1,1,1,1,1,1,,
165,0.206783,0.214906,0.217909,0.187655,0.201597,0.204057,0.184913,,,0.479839,0.459379,0.513007,0.482274,0.502722,0.487777,0.316854,,,0.479839,0.459379,0.513007,0.482274,0.502722,0.487777,0.316854,,,1,1,1,1,1,1,1,,
180,0.133121,0.151837,0.13074,0.199133,0.228057,,0.129069,,,0.378751,0.391596,0.388787,0.445521,0.48122,,0.356431,,,0.378751,0.391596,0.388787,0.445521,0.48122,,0.356431,,,1,1,1,1,1,,1,,
195,0.137064,0.136007,0.143488,0.155657,0.169868,0.150626,0.113926,,,0.372255,0.374948,0.342633,0.399529,0.424062,0.418689,0.293025,,,0.372255,0.374948,0.342633,0.399529,0.424062,0.418689,0.293025,,,1,1,1,1,1,1,1,,
210,0.132534,0.116845,0.117948,0.167083,0.194732,,0.106486,,,0.345017,0.305137,0.36397,0.438892,0.429306,,0.273717,,,0.345017,0.305137,0.36397,0.438892,0.429306,,0.273717,,,1,1,1,1,1,,1,,
225,0.116128,0.114554,0.105672,0.137654,0.137016,0.122998,0.083664,,,0.33098,0.306084,0.32015,0.378806,0.39149,0.358195,0.261806,,,0.33098,0.306084,0.32015,0.378806,0.39149,0.358195,0.261806,,,1,1,1,1,1,1,1,,
240,0.090252,0.092633,0.074087,0.11075,0.107188,0.1263,0.072983,0.073912,,0.333646,0.311819,0.304943,0.331249,0.342389,0.333561,0.213571,0.202452,,0.333646,0.311819,0.304943,0.331249,0.342389,0.333561,0.213571,0.202452,,1,1,1,1,1,1,1,1,
255,0.027284,0.080292,0.093835,0.103658,0.112345,0.096755,0.067057,,,0.235197,0.277872,0.281402,0.379255,0.317543,0.263428,0.203867,,,0.235197,0.277872,0.281402,0.379255,0.317543,0.263428,0.203867,,,1,1,1,1,1,1,1,,
270,0.081612,0.090465,0.086541,0.102343,0.098597,0.045826,0.066037,,,0.275946,0.289013,0.327407,0.326366,0.303256,0.332644,0.141337,,,0.275946,0.289013,0.327407,0.326366,0.303256,0.332644,0.141337,,,1,1,1,1,1,1,1,,
285,0.076243,0.079866,0.07105,,0.140671,0.090274,0.059868,0.060268,,0.2858,0.283117,0.29273,,0.423328,0.242131,0.173457,0.188823,,0.2858,0.283117,0.29273,,0.423328,0.242131,0.173457,0.188823,,1,1,1,,1,1,1,1,
300,0.077339,0.078414,0.075222,0.088047,0.077365,,0.053149,0.055811,,0.279372,0.269775,0.285322,0.308715,0.162992,,0.200822,0.164791,,0.279372,0.269775,0.285322,0.308715,0.162992,,0.200822,0.164791,,1,1,1,1,1,,1,1,
315,0.070556,0.075531,0.069838,0.071699,0.073169,,0.072487,0.05886,,0.26193,0.277782,0.268948,0.30036,0.224684,,0.2201,0.19336,,0.26193,0.277782,0.268948,0.30036,0.224684,,0.2201,0.19336,,1,1,1,1,1,,1,1,
330,0.071467,0.077071,0.073407,0.057773,0.059645,,0.059307,0.057726,,0.282742,0.298818,0.285851,0.27415,0.286655,,0.194136,0.204003,,0.282742,0.298818,0.285851,0.27415,0.286655,,0.194136,0.204003,,1,1,1,1,1,,1,1,
R8,A1,A2,A3,A4,A5,A6,A7,A8,A9,B1,B2,B3,B4,B5,B6,B7,B8,B9,C1,C2,C3,C4,C5,C6,C7,C8,C9,D1,D2,D3,D4,D5,D6,D7,D8,D9
0,0.709694,0.73692,0.73692,,,,,,,0.994834,0.994618,0.994255,,,,,,,0.994834,0.994618,0.994255,,,,,,,1,1,1,,,,,,
15,0.661124,0.554334,0.656538,,,,,,,0.971327,1,0.967929,,,,,,,0.971327,1,0.967929,,,,,,,1,1,1,,,,,,
30,0.614686,0.711442,0.568037,,,,,,,0.933683,0.954318,0.927231,,,,,,,0.933683,0.954318,0.927231,,,,,,,1,1,1,,,,,,
45,0.692588,,0.625045,,,,,,,0.883215,,1,,,,,,,0.883215,,1,,,,,,,1,,1,,,,,,
60,0.384942,,0.519132,,,,,,,0.932802,,0.935073,,,,,,,0.932802,,0.935073,,,,,,,1,,1,,,,,,
75,0.643055,0.676251,0.565229,,,,,,,0.855445,0.934517,1,,,,,,,0.855445,0.934517,1,,,,,,,1,1,1,,,,,,
90,0.628388,0.615183,0.454539,,,,,,,0.800243,0.900611,0.813807,,,,,,,0.800243,0.900611,0.813807,,,,,,,1,1,1,,,,,,
105,0.488381,0.6028,0.501645,,,,,,,0.721916,0.852002,0.881622,,,,,,,0.721916,0.852002,0.881622,,,,,,,1,1,1,,,,,,
120,0.601439,0.490171,,,,,,,,0.739375,0.908613,,,,,,,,0.739375,0.908613,,,,,,,,1,1,,,,,,,
135,0.474274,0.457129,0.488903,,,,,,,0.706775,0.916353,0.979706,,,,,,,0.706775,0.916353,0.979706,,,,,,,1,1,1,,,,,,
150,0.395753,0.376825,0.49384,,,,,,,0.837826,0.829506,0.98829,,,,,,,0.837826,0.829506,0.98829,,,,,,,1,1,1,,,,,,
165,0.516816,0.327211,0.346617,,,,,,,0.670775,0.741578,0.730846,,,,,,,0.670775,0.741578,0.730846,,,,,,,1,1,1,,,,,,
180,0.325517,0.364093,0.454021,,,,,,,0.780245,0.786142,0.976205,,,,,,,0.780245,0.786142,0.976205,,,,,,,1,1,1,,,,,,
195,0.371846,0.244088,,,,,,,,0.667183,0.651184,,,,,,,,0.667183,0.651184,,,,,,,,1,1,,,,,,,
210,0.297742,0.374302,0.235846,,,,,,,0.431152,0.786372,0.601434,,,,,,,0.431152,0.786372,0.601434,,,,,,,1,1,1,,,,,,
225,0.257173,0.339164,0.429766,,,,,,,0.632441,0.814244,0.991954,,,,,,,0.632441,0.814244,0.991954,,,,,,,1,1,1,,,,,,
240,0.438128,0.31609,0.289835,,,,,,,0.537971,0.706013,0.641909,,,,,,,0.537971,0.706013,0.641909,,,,,,,1,1,1,,,,,,
255,,0.293736,0.349236,,,,,,,,0.706956,0.841857,,,,,,,,0.706956,0.841857,,,,,,,,1,1,,,,,,
270,0.374376,0.228609,0.259739,,,,,,,0.451474,0.613219,0.600385,,,,,,,0.451474,0.613219,0.600385,,,,,,,1,1,1,,,,,,
285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,0.299407,,,,,,,,,0.407545,,,,,,,,,0.407545,,,,,,,,,1,,,,,,,,
315,0.307055,,,,,,,,,0.395659,,,,,,,,,0.395659,,,,,,,,,1,,,,,,,,
330,0.341829,0.186537,,,,,,,,0.434896,0.542737,,,,,,,,0.434896,0.542737,,,,,,,,1,1,,,,,,,
R9,A1,A2,A3,A4,A5,A6,A7,A8,A9,B1,B2,B3,B4,B5,B6,B7,B8,B9,C1,C2,C3,C4,C5,C6,C7,C8,C9,D1,D2,D3,D4,D5,D6,D7,D8,D9
0,0.709694,0.73692,0.73692,,,,,,,0.994834,0.994618,0.994255,,,,,,,0.994834,0.994618,0.994255,,,,,,,1,1,1,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.651576,,,,,,,,,0.918329,,,,,,,,,0.918329,,,,,,,,,1,,,,,,,,
45,0.831792,,,,,,,,,0.966981,,,,,,,,,0.966981,,,,,,,,,1,,,,,,,,
60,0.81042,,,,,,,,,0.953865,,,,,,,,,0.953865,,,,,,,,,1,,,,,,,,
75,0.891543,,,,,,,,,0.983785,,,,,,,,,0.983785,,,,,,,,,1,,,,,,,,
90,0.861953,,,,,,,,,0.993868,,,,,,,,,0.993868,,,,,,,,,1,,,,,,,,
105,0.887032,,,,,,,,,0.995822,,,,,,,,,0.995822,,,,,,,,,1,,,,,,,,
120,0.866653,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,
135,0.858242,,,,,,,,,0.989539,,,,,,,,,0.989539,,,,,,,,,1,,,,,,,,
150,0.860698,,,,,,,,,0.994971,,,,,,,,,0.994971,,,,,,,,,1,,,,,,,,
165,0.831717,,,,,,,,,0.98989,,,,,,,,,0.98989,,,,,,,,,1,,,,,,,,
180,0.802908,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,
195,0.741065,,,,,,,,,0.999135,,,,,,,,,0.999135,,,,,,,,,1,,,,,,,,
210,0.763314,,,,,,,,,0.999515,,,,,,,,,0.999515,,,,,,,,,1,,,,,,,,
225,0.73178,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,
240,0.705591,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,
255,0.765806,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,
270,0.718749,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,
285,0.742155,,,,,,,,,0.998718,,,,,,,,,0.998718,,,,,,,,,1,,,,,,,,
300,0.729024,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,
315,0.721264,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,
330,0.708155,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,
